ticker,start_date,end_date,days,max_consecutive_days,total_stale_days
OCCI,2013-10-07,2014-01-23,109,426,1236
MCF,1996-06-24,1996-10-10,109,90,1481
KBLMU,2018-10-26,2019-02-11,109,72,494
GRAF,2000-04-12,2000-07-28,108,1223,3366
BE,2008-02-20,2008-06-06,108,117,2051
MLPB,2016-06-20,2016-10-04,107,75,863
HNRG,1998-11-18,1999-03-04,107,73,3290
RMG,2005-12-06,2006-03-22,107,120,1003
PLX,2004-02-03,2004-05-18,106,80,1679
TXMD,2009-02-27,2009-06-12,106,107,883
OCCI,2012-11-15,2013-02-28,106,426,1236
PCB,2012-12-04,2013-03-18,105,131,830
WKEY,2019-04-09,2019-07-22,105,72,276
PWOD,1994-06-03,1994-09-15,105,73,1405
CXDC,2008-04-17,2008-07-30,105,73,350
DTW,2015-09-16,2015-12-29,105,214,471
PLX,2002-06-06,2002-09-17,104,80,1679
HQI,2004-01-15,2004-04-27,104,71,698
HNRG,2003-02-10,2003-05-23,103,73,3290
CEMI,2003-01-17,2003-04-29,103,70,937
OPBK,2011-07-15,2011-10-24,102,161,2090
LFVN,2002-10-15,2003-01-24,102,290,2466
LBC,2004-04-20,2004-07-30,102,181,1956
GRAF,2000-09-05,2000-12-15,102,1223,3366
GIX,2015-12-29,2016-04-08,102,117,2607
CRH,1993-11-23,1994-03-04,102,71,838
OR,2015-11-10,2016-02-19,102,55,135
CEA,2007-05-23,2007-08-31,101,71,156
ALACR,2014-05-20,2014-08-28,101,182,754
DOOR,2011-05-11,2011-08-19,101,71,663
WPM,2002-05-02,2002-08-09,100,92,996
GHG,2012-02-27,2012-06-05,100,70,661
KIQ,2002-05-29,2002-09-05,100,175,3475
VEL,2013-03-13,2013-06-20,100,172,616
GIX,2017-03-14,2017-06-21,100,117,2607
MTC,2013-03-13,2013-06-20,100,90,1130
CFB,2013-03-13,2013-06-20,100,104,814
ARWR,1999-04-14,1999-07-22,100,70,2032
BWFG,2011-08-18,2011-11-25,100,132,880
PFBC,2002-11-21,2003-02-28,100,228,1314
SOLN,2017-07-06,2017-10-12,99,130,464
AYTU,2009-05-21,2009-08-27,99,131,1696
DTEA,2015-02-26,2015-06-04,99,69,169
LD,2018-05-31,2018-09-06,99,91,1282
HNRG,1997-08-05,1997-11-11,99,73,3290
BSRR,1994-08-30,1994-12-06,99,69,867
NAK,2001-08-01,2001-11-07,99,66,266
CTZ,2012-05-03,2012-08-08,98,68,2291
CEMI,2003-05-01,2003-08-05,97,70,937
GRAF,2011-11-17,2012-02-21,97,1223,3366
PJT,2011-12-01,2012-03-06,97,78,2431
MCF,1995-02-10,1995-05-16,96,90,1481
AUG,2014-04-03,2014-07-07,96,65,336
CLAR,1997-06-06,1997-09-09,96,4,19
OCCI,2017-06-15,2017-09-18,96,426,1236
CTAA,2015-06-09,2015-09-11,95,632,1063
BE,2008-06-10,2008-09-12,95,117,2051
CRH,1994-03-08,1994-06-10,95,71,838
CTAA,2015-02-24,2015-05-29,95,632,1063
ALACR,2016-01-12,2016-04-15,95,182,754
NWGI,2012-01-10,2012-04-12,94,65,1434
KLR,2017-09-27,2017-12-29,94,560,1397
OPBK,2009-08-31,2009-12-02,94,161,2090
KIQ,2004-07-14,2004-10-15,94,175,3475
AYTU,2011-07-05,2011-10-05,93,131,1696
UCIB,2017-08-01,2017-11-01,93,83,819
SOLN,2017-12-05,2018-03-07,93,130,464
YUMA,1995-12-07,1996-03-08,93,319,2485
CXDC,2007-12-12,2008-03-13,93,73,350
VFF,2016-11-10,2017-02-10,93,84,379
PFBC,2001-09-26,2001-12-26,92,228,1314
VTNR,2002-04-25,2002-07-25,92,64,1075
RDIB,2018-02-02,2018-05-04,92,64,1468
UIHC,2011-07-01,2011-09-30,92,64,884
ALT,2016-03-29,2016-06-28,92,78,1032
DNK,2015-03-06,2015-06-05,92,213,325
MXC,1999-01-04,1999-04-05,92,164,2419
CC,2015-03-06,2015-06-05,92,24,24
MXC,1996-02-07,1996-05-08,92,164,2419
REI,2011-08-16,2011-11-15,92,98,1160
SWP,1993-06-02,1993-08-31,91,64,833
COE,2007-09-11,2007-12-10,91,64,1318
ARWR,1998-07-01,1998-09-29,91,70,2032
SOLN,2018-09-14,2018-12-13,91,130,464
