Date,Long,long_close,long_ret5,long_prob_up,Short,short_close,short_ret5,short_prob_up
2001-04-27,glw.us,17.775,0.1086919831223629,0.61224765,axgn.us,1.33,0.2406015037593982,0.36786556
2001-04-30,ctl.us,17.097,0.0369070597180791,0.610918,rave.us,1.98,0.0151515151515151,0.3326926
2001-05-01,eog.us,10.774,-0.0321143493595691,0.6272474,snv.us,75.553,0.0066311066403716,0.3819043
2001-05-02,d.us,23.405,-0.0121341593676566,0.6438807,aphb.us,31000.0,-0.0435483870967742,0.29896772
2001-05-03,rok.us,13.217,0.0189906938034349,0.6608975,axgn.us,1.64,0.024390243902439,0.36220667
2001-05-04,hrb.us,10.224,0.0493935837245695,0.66549325,rave.us,2.07,0.038647342995169,0.3425099
2001-05-07,jnpr.us,54.251,-0.0579712816353614,0.67471963,jhg.us,54.926,-0.0428212504096421,0.36642244
2001-05-08,whr.us,46.48,0.0250645438898451,0.6447469,msa.us,5.6745,0.0950039651070577,0.3658575
2001-05-09,wba.us,35.686,-0.0254441517682004,0.6298602,grmn.us,8.9529,-0.014665639066671,0.3806973
2001-05-10,aapl.us,1.4728,0.0242395437262357,0.6286618,msa.us,5.9396,0.0615192942285673,0.36345705
2001-05-11,intc.us,22.406,0.0290100865839508,0.6448227,pcg.us,8.1816,0.1000904468563608,0.39227256
2001-05-14,syk.us,25.271,0.0451505678445649,0.6587257,fmbh.us,6.7996,0.0300311783046061,0.37882602
2001-05-15,amzn.us,13.54,0.2001477104874447,0.71336377,fmbh.us,7.0038,-0.027813472686256,0.37326744
2001-05-16,biib.us,48.985,0.075022966214147,0.6276813,cinf.us,28.286,0.0029696669730607,0.37010616
2001-05-17,sre.us,20.538,0.0074496056091146,0.63756806,emr.us,26.703,0.0225442834138487,0.34786475
2001-05-18,ceco.us,12.25,0.0097959183673468,0.66943586,flr.us,25.83,-0.0045683313975996,0.3697537
2001-05-21,teva.us,11.532,0.0448317724592437,0.6461921,gfi.us,4.7633,-0.1644448176684232,0.362311
2001-05-22,cl.us,23.594,0.0233533949309145,0.6511853,ci.us,30.231,-0.0154807978565049,0.35531056
2001-05-23,unh.us,11.935,0.0842061164641809,0.66276246,fmbh.us,7.0038,0.0026557011907821,0.30008867
2001-05-24,jnj.us,39.658,0.0055978617176861,0.6788797,seb.us,178.15,0.0587145663766488,0.36311138
2001-05-25,aet.us,5.4278,0.0321124580861489,0.67036664,aiv.us,32.951,0.0025188916876572,0.38848063
2001-05-29,apc.us,28.912,0.0256294964028775,0.6813545,esrx.us,6.28,-0.0023885350318472,0.40324658
